win,lose,probability
Cleveland Cavaliers,New York Knicks,0.912341667273
Golden State Warriors,San Antonio Spurs,0.641069024388
Portland Trail Blazers,Utah Jazz,0.732098674061
Boston Celtics,Brooklyn Nets,0.881247645403
Indiana Pacers,Dallas Mavericks,0.61555609552
Houston Rockets,Los Angeles Lakers,0.818407526526
Memphis Grizzlies,Minnesota Timberwolves,0.561251762073
Charlotte Hornets,Milwaukee Bucks,0.760784838614
Denver Nuggets,New Orleans Pelicans,0.54394059789
Miami Heat,Orlando Magic,0.662771792143
Oklahoma City Thunder,Philadelphia 76ers,0.959360223688
Sacramento Kings,Phoenix Suns,0.641717428603
Toronto Raptors,Detroit Pistons,0.730870936215
Atlanta Hawks,Washington Wizards,0.652050066149
Boston Celtics,Chicago Bulls,0.568048490788
Portland Trail Blazers,Los Angeles Clippers,0.585354029166
San Antonio Spurs,Sacramento Kings,0.876717725572
Indiana Pacers,Brooklyn Nets,0.845137717159
Dallas Mavericks,Houston Rockets,0.532770890583
Detroit Pistons,Orlando Magic,0.655577606709
Miami Heat,Charlotte Hornets,0.549700016292
Golden State Warriors,New Orleans Pelicans,0.921552801757
Oklahoma City Thunder,Phoenix Suns,0.926769422235
Cleveland Cavaliers,Toronto Raptors,0.535049038098
Utah Jazz,Los Angeles Lakers,0.864590662887
Indiana Pacers,Chicago Bulls,0.534018497801
Charlotte Hornets,Boston Celtics,0.544110961401
Cleveland Cavaliers,Orlando Magic,0.879074316082
Portland Trail Blazers,Denver Nuggets,0.676484730534
Milwaukee Bucks,Brooklyn Nets,0.657917220975
Memphis Grizzlies,New York Knicks,0.532475228419
Atlanta Hawks,Philadelphia 76ers,0.922131824505
Sacramento Kings,Minnesota Timberwolves,0.518083833166
San Antonio Spurs,New Orleans Pelicans,0.92989281787
Detroit Pistons,Milwaukee Bucks,0.699325736033
Houston Rockets,Dallas Mavericks,0.564883044504
Los Angeles Clippers,Utah Jazz,0.714808002469
Washington Wizards,Memphis Grizzlies,0.562434766384
San Antonio Spurs,Miami Heat,0.704634144871
Oklahoma City Thunder,Los Angeles Lakers,0.950055904252
Golden State Warriors,Phoenix Suns,0.946453052331
Atlanta Hawks,Sacramento Kings,0.753821042515
Chicago Bulls,Brooklyn Nets,0.765395820866
Los Angeles Clippers,Phoenix Suns,0.887030176495
Toronto Raptors,Denver Nuggets,0.831065502553
Cleveland Cavaliers,Houston Rockets,0.815907838969
Detroit Pistons,New York Knicks,0.731554245414
Indiana Pacers,Los Angeles Lakers,0.878085097416
Miami Heat,Sacramento Kings,0.761033084245
Memphis Grizzlies,Minnesota Timberwolves,0.578623320609
Milwaukee Bucks,New Orleans Pelicans,0.512991630077
Orlando Magic,Philadelphia 76ers,0.827093528782
Golden State Warriors,Portland Trail Blazers,0.691873100196
San Antonio Spurs,Utah Jazz,0.864656385541
Atlanta Hawks,Los Angeles Lakers,0.899653357096
Boston Celtics,Chicago Bulls,0.703990001092
Detroit Pistons,Brooklyn Nets,0.816491768036
Charlotte Hornets,Philadelphia 76ers,0.929289853141
Oklahoma City Thunder,Los Angeles Clippers,0.569662327539
Memphis Grizzlies,New Orleans Pelicans,0.621369196321
Houston Rockets,New York Knicks,0.635436882703
Portland Trail Blazers,Phoenix Suns,0.775612853936
Utah Jazz,Dallas Mavericks,0.586681067999
Toronto Raptors,Washington Wizards,0.665912216063
Cleveland Cavaliers,Boston Celtics,0.754716784952
Golden State Warriors,Oklahoma City Thunder,0.717754169011
Indiana Pacers,Milwaukee Bucks,0.730738202885
Denver Nuggets,Minnesota Timberwolves,0.542800674723
Orlando Magic,Sacramento Kings,0.553529575793
Charlotte Hornets,Brooklyn Nets,0.864780860637
Chicago Bulls,New York Knicks,0.720057207055
Dallas Mavericks,Portland Trail Blazers,0.511689676983
Golden State Warriors,Los Angeles Lakers,0.961653165755
